Code INSEE département,Mois,TMin (°C),TMax (°C),TMoy (°C)
01,2018-01-01,4.612903225806452,10.506451612903225,7.559677419354839
01,2018-02-01,-1.45,5.396428571428571,1.9732142857142858
01,2018-03-01,2.6258064516129034,12.464516129032257,7.54516129032258
01,2018-04-01,7.866666666666666,20.740000000000002,14.303333333333335
01,2018-05-01,11.22258064516129,22.293548387096774,16.758064516129032
01,2018-06-01,13.476666666666667,26.513333333333332,19.995
01,2018-07-01,15.53225806451613,30.690322580645162,23.111290322580647
01,2018-08-01,15.76774193548387,29.603225806451615,22.68548387096774
01,2018-09-01,11.153333333333334,27.11,19.131666666666668
01,2018-10-01,7.741935483870968,17.703225806451613,12.72258064516129
01,2018-11-01,4.33,11.58,7.955
01,2018-12-01,2.6870967741935483,8.24516129032258,5.466129032258064
01,2019-01-01,-0.7806451612903226,5.170967741935484,2.1951612903225803
01,2019-02-01,-0.28571428571428564,12.346428571428572,6.0303571428571425
01,2019-03-01,2.703225806451613,14.906451612903227,8.80483870967742
01,2019-04-01,4.72,17.09,10.905
01,2019-05-01,6.577419354838709,18.503225806451614,12.540322580645162
01,2019-06-01,13.443333333333333,26.60666666666667,20.025
01,2019-07-01,15.083870967741936,29.98709677419355,22.53548387096774
01,2019-08-01,13.603225806451613,27.270967741935483,20.437096774193545
01,2019-09-01,10.196666666666665,23.506666666666668,16.851666666666667
01,2019-10-01,9.67741935483871,18.08709677419355,13.88225806451613
01,2019-11-01,3.316666666666667,10.403333333333334,6.86
01,2019-12-01,2.696774193548387,9.296774193548387,5.996774193548387
01,2020-01-01,0.2193548387096775,8.529032258064515,4.374193548387097
01,2020-02-01,2.7586206896551726,12.213793103448275,7.486206896551724
01,2020-03-01,2.2806451612903227,13.548387096774194,7.914516129032258
01,2020-04-01,6.3100000000000005,20.823333333333334,13.566666666666666
01,2020-05-01,8.94516129032258,21.53548387096774,15.240322580645161
01,2020-06-01,12.023333333333333,23.623333333333335,17.823333333333334
01,2020-07-01,13.870967741935484,29.496774193548386,21.683870967741935
01,2020-08-01,15.070967741935483,29.651612903225804,22.361290322580647
01,2020-09-01,11.5,24.946666666666665,18.223333333333336
01,2020-10-01,7.474193548387096,15.358064516129033,11.416129032258064
01,2020-11-01,3.716666666666667,12.763333333333332,8.24
01,2020-12-01,1.435483870967742,8.12258064516129,4.779032258064516
01,2021-01-01,-0.5483870967741935,4.735483870967743,2.0935483870967744
01,2021-02-01,3.082142857142857,11.924999999999999,7.503571428571428
01,2021-03-01,1.196774193548387,13.619354838709677,7.408064516129032
01,2021-04-01,2.9233333333333333,15.803333333333335,9.363333333333333
01,2021-05-01,7.4,18.032258064516128,12.716129032258063
01,2021-06-01,14.25,25.81,20.029999999999998
01,2021-07-01,13.841935483870968,24.993548387096773,19.41774193548387
01,2021-08-01,12.519354838709678,24.896774193548385,18.708064516129035
01,2021-09-01,12.35,24.396666666666665,18.373333333333335
01,2021-10-01,5.564516129032258,16.664516129032258,11.114516129032259
01,2021-11-01,2.0433333333333334,7.25,4.6466666666666665
01,2021-12-01,0.5,6.790322580645161,3.6451612903225805
01,2022-01-01,-2.0806451612903225,4.612903225806452,1.2661290322580645
01,2022-02-01,1.3678571428571427,11.235714285714286,6.301785714285714
01,2022-03-01,2.5290322580645164,15.432258064516128,8.980645161290322
01,2022-04-01,4.326666666666667,16.62,10.473333333333333
01,2022-05-01,10.612903225806452,24.716129032258067,17.664516129032258
01,2022-06-01,14.603333333333333,28.516666666666666,21.56
01,2022-07-01,13.712903225806452,30.177419354838708,21.94516129032258
01,2022-08-01,14.858064516129033,30.16774193548387,22.51290322580645
01,2022-09-01,11.816666666666666,23.483333333333334,17.65
01,2022-10-01,13.82258064516129,23.316129032258065,18.56935483870968
01,2022-11-01,6.21,13.856666666666666,10.033333333333333
01,2022-12-01,3.1838709677419357,8.641935483870968,5.912903225806452
01,2023-01-01,1.9580645161290324,7.696774193548387,4.827419354838709
01,2023-02-01,-0.5535714285714286,12.00357142857143,5.725
01,2023-03-01,4.419354838709677,14.687096774193549,9.553225806451612
01,2023-04-01,5.526666666666667,16.423333333333332,10.975
01,2023-05-01,10.258064516129032,21.86774193548387,16.06290322580645
01,2023-06-01,14.723333333333333,28.616666666666667,21.67
01,2023-07-01,16.23548387096774,30.009677419354837,23.12258064516129
01,2023-08-01,16.112903225806452,30.516129032258064,23.31451612903226
01,2023-09-01,14.253333333333334,28.553333333333335,21.403333333333332
01,2023-10-01,10.148387096774194,21.73548387096774,15.941935483870967
01,2023-11-01,4.83,12.103333333333333,8.466666666666667
01,2023-12-01,2.596774193548387,9.748387096774193,6.172580645161291
01,2024-01-01,2.148387096774193,8.593548387096773,5.370967741935484
01,2024-02-01,5.127586206896551,12.058620689655172,8.593103448275862
01,2024-03-01,5.5,15.667741935483871,10.583870967741936
01,2024-04-01,6.873333333333333,17.283333333333335,12.078333333333335
01,2024-05-01,10.27741935483871,20.93548387096774,15.606451612903227
01,2024-06-01,14.236666666666668,25.28666666666667,19.761666666666667
01,2024-07-01,15.603225806451613,28.858064516129033,22.230645161290322
01,2024-08-01,15.922580645161291,30.932258064516127,23.427419354838708
01,2024-09-01,11.486666666666668,21.84333333333333,16.665
01,2024-10-01,10.712903225806452,19.858064516129033,15.285483870967743
01,2024-11-01,4.34,11.696666666666665,8.018333333333334
01,2024-12-01,-0.24516129032258063,6.422580645161291,3.088709677419355
01,2025-01-01,1.070967741935484,8.035483870967742,4.553225806451613
01,2025-02-01,2.292857142857143,10.385714285714286,6.339285714285714
